"","x"
"(Intercept)",0.0148939299338914
"poly(bfp, 7, raw = TRUE)1",-0.000236844183228001
"poly(bfp, 7, raw = TRUE)2",0.0181920140573053
"poly(bfp, 7, raw = TRUE)3",-0.00166560309400452
"poly(bfp, 7, raw = TRUE)4",6.2683620760628e-05
"poly(bfp, 7, raw = TRUE)5",-1.18618193087746e-06
"poly(bfp, 7, raw = TRUE)6",1.11851619305808e-08
"poly(bfp, 7, raw = TRUE)7",-4.19212231993701e-11
"age1",0.0159695711207904
"age2",0.0337033454664345
"age3",0.0482577918322875
"age4",0.0535562714645036
"sex1",-0.0309916676599867
